quincena,temporada_alta,dif_vuelo_prog_oper,tipo_vuelo,dest_tas,dest_pr,ori_pr,orig_tas,distancia,mes,dest_oper,dia_nomi,opera,periodo_dia,atraso,vel_viento_mod_orig,wind_dir
1,1,0,0,2.6351600000000417,0.7672157136,0.0,15.87805000000003,11685.858,Enero,LFPG,Do,Air France,tarde,0,10.388723878145166,Sureste
1,1,0,0,1.3758000000000266,2.1292028928,0.013804030367999999,14.691579999999988,11685.858,Enero,LFPG,Lu,Air France,tarde,0,8.344514567467561,Sureste
1,1,0,0,5.035329999999988,1.885681728,0.0,15.005150000000015,11685.858,Enero,LFPG,Ma,Air France,tarde,0,5.989232270681126,Sureste
1,1,0,0,8.321200000000033,12.06948816,0.0,14.97847999999999,11685.858,Enero,LFPG,Mi,Air France,tarde,0,6.033029408265457,Sureste
1,1,0,0,7.861229999999978,1.0944921312,0.0,15.134060000000034,11685.858,Enero,LFPG,Ju,Air France,tarde,0,6.200035239946912,Sureste
1,1,0,0,9.261000000000024,21.07593648,0.0,15.24290000000002,11685.858,Enero,LFPG,Vi,Air France,tarde,1,7.392339933057302,Sureste
1,1,0,0,8.325829999999996,1.9057933152000002,0.0,14.37707000000006,11685.858,Enero,LFPG,Sa,Air France,tarde,0,7.088913052815581,Sureste
1,1,0,0,7.884420000000034,2.5424776799999997,0.0,15.108600000000024,11685.858,Enero,LFPG,Do,Air France,tarde,0,6.3562291622667795,Sureste
1,1,0,0,8.800870000000032,7.956525023999999,0.0,15.926750000000027,11685.858,Enero,LFPG,Lu,Air France,tarde,0,6.536273791832727,Sureste
1,1,0,0,8.320400000000006,0.031603127616,0.0,15.964720000000057,11685.858,Enero,LFPG,Mi,Air France,tarde,0,7.866921932154894,Sureste
1,1,0,0,7.5061000000000035,2.7466155648,0.032783534784,16.185420000000022,11685.858,Enero,LFPG,Sa,Air France,tarde,1,6.2070491450794805,Sureste
0,1,0,0,8.293600000000026,5.7929878079999995,0.0003013945632,16.238699999999994,11685.858,Enero,LFPG,Lu,Air France,tarde,0,4.7495900770177,Suroeste
0,1,0,0,3.8658000000000357,1.2580800768,0.0,15.855650000000026,11685.858,Enero,LFPG,Mi,Air France,tarde,1,8.371160183218153,Sureste
0,1,0,0,8.863550000000032,9.652190688,0.04511210976,16.5077,11685.858,Enero,LFPG,Sa,Air France,tarde,0,4.1113131146147275,Suroeste
0,1,0,0,8.105200000000025,3.9522416831999996,0.0005726823552,16.60820000000001,11685.858,Enero,LFPG,Lu,Air France,tarde,0,1.9011946529259869,Suroeste
0,1,0,0,7.242850000000033,7.595195904,0.015119015040000001,16.761220000000037,11685.858,Enero,LFPG,Mi,Air France,tarde,0,4.181727427851464,Suroeste
0,1,0,0,8.800870000000032,0.30040070399999996,1.5975570816e-05,16.86605000000003,11685.858,Enero,LFPG,Sa,Air France,tarde,0,2.5162678059973067,Suroeste
0,1,0,0,8.079949999999997,0.9191410848,0.0455808816,17.877470000000017,11685.858,Enero,LFPG,Lu,Air France,tarde,0,6.980374221965181,Sureste
1,1,0,0,9.61153999999999,6.7090814784,0.0,15.783839999999998,11685.858,Enero,LFPG,Ma,Air France,tarde,0,7.396545971943286,Sureste
1,1,0,0,7.697440000000029,0.35442374688,0.0,15.240560000000016,11685.858,Enero,LFPG,Ju,Air France,tarde,0,6.894164668544623,Sureste
1,1,0,0,8.656949999999995,5.856802848,0.0227256624,15.57134000000002,11685.858,Enero,LFPG,Vi,Air France,tarde,0,6.700524080405711,Sureste
1,1,0,0,8.979150000000004,11.079938592,0.0,16.22550000000001,11685.858,Enero,LFPG,Do,Air France,tarde,0,5.74105659449644,Suroeste
0,1,0,0,5.972070000000031,3.5041400928,0.15591172895999997,16.294849999999997,11685.858,Enero,LFPG,Ma,Air France,tarde,0,5.947632728101124,Sureste
0,1,0,0,5.300800000000038,6.599416032000001,0.0,16.434140000000014,11685.858,Enero,LFPG,Ju,Air France,tarde,0,6.988255676942129,Sureste
0,1,0,0,10.274130000000014,16.850149632,0.14244887232,15.839300000000037,11685.858,Enero,LFPG,Do,Air France,tarde,0,1.6421643773144547,Suroeste
0,1,0,0,6.9890700000000265,3.054826656,0.016872638688,16.85850000000005,11685.858,Enero,LFPG,Ma,Air France,tarde,0,3.0745018825954973,Suroeste
0,1,0,0,7.532500000000027,0.004772655648000001,0.0010090763136000002,16.8116,11685.858,Enero,LFPG,Ju,Air France,tarde,0,4.478023143225653,Suroeste
0,1,0,0,9.28018000000003,0.33495090624,0.0,16.819240000000036,11685.858,Enero,LFPG,Vi,Air France,tarde,0,3.912474693886115,Sureste
0,1,0,0,8.544550000000015,0.9762821568000001,0.231288048,17.373560000000055,11685.858,Enero,LFPG,Do,Air France,tarde,0,4.632250930802453,Sureste
0,1,0,0,8.96610000000004,12.69172368,0.10963010015999998,17.358580000000018,11685.858,Enero,LFPG,Ma,Air France,tarde,0,7.182080836571325,Sureste
0,1,0,0,8.605250000000012,12.593755584,0.0,16.887170000000026,11685.858,Enero,LFPG,Vi,Air France,tarde,0,4.260849625215737,Suroeste
1,1,0,0,2.432920000000024,0.8022285792,0.31821990048,18.53597000000002,11685.858,Febrero,LFPG,Sa,Air France,tarde,0,5.525100727219921,Sureste
1,1,0,0,7.04427000000004,11.441539008,3.4051618943999995,17.33907000000005,11685.858,Febrero,LFPG,Lu,Air France,tarde,0,8.71760134152072,Suroeste
1,1,0,0,6.225180000000023,0.0047022476832,1.4280679295999998,18.04570000000001,11685.858,Febrero,LFPG,Mi,Air France,tarde,0,2.955522837136901,Suroeste
1,1,0,0,5.087850000000003,0.8423510976,0.17361153792,17.10772000000003,11685.858,Febrero,LFPG,Sa,Air France,tarde,0,6.235729271849265,Sureste
1,1,0,0,7.2730999999999995,0.0080768016,0.0,17.227599999999995,11685.858,Febrero,LFPG,Lu,Air France,tarde,0,4.384790531488719,Sureste
1,1,0,0,7.448880000000031,0.7908627456,0.03456703296000001,18.03377999999998,11685.858,Febrero,LFPG,Mi,Air France,tarde,1,4.243111527281804,Noroeste
0,1,0,0,4.4464399999999955,1.363490928,0.0,17.882870000000025,11685.858,Febrero,LFPG,Lu,Air France,tarde,0,4.928302152579223,Suroeste
0,1,0,0,10.44634000000002,0.5023106784,0.0,17.821920000000034,11685.858,Febrero,LFPG,Mi,Air France,tarde,0,4.856424365221281,Sureste
0,1,0,0,8.276900000000012,4.8120992352,0.06086023430399999,18.39282000000003,11685.858,Febrero,LFPG,Sa,Air France,tarde,0,8.835876845725366,Sureste
0,1,0,0,6.343299999999999,0.26990398368,0.0,18.237660000000005,11685.858,Febrero,LFPG,Lu,Air France,tarde,0,9.745534701867774,Sureste
1,1,0,0,7.2238700000000335,2.67426144,0.035863864128,17.656240000000025,11685.858,Febrero,LFPG,Mi,Air France,tarde,0,5.721928600367188,Sureste
1,1,0,0,4.851100000000031,0.020282529599999998,0.30472314912,17.75744000000003,11685.858,Febrero,LFPG,Ju,Air France,tarde,0,5.4604844066567475,Sureste
1,1,0,0,3.4330700000000434,0.4230740505600001,0.03454957152,17.7611,11685.858,Febrero,LFPG,Vi,Air France,tarde,0,6.075408551903456,Sureste
1,1,0,0,6.807100000000048,6.581668176,0.0,17.505060000000014,11685.858,Febrero,LFPG,Ma,Air France,tarde,0,5.680480970885915,Suroeste
1,1,0,0,6.517479999999978,0.019487925216,0.8895502944000001,17.78484000000003,11685.858,Febrero,LFPG,Ju,Air France,tarde,0,4.520550108498736,Sureste
1,1,0,0,5.6216700000000515,1.1164091328,0.0,17.725270000000023,11685.858,Febrero,LFPG,Vi,Air France,tarde,0,7.045757026588792,Sureste
1,1,0,0,5.032070000000033,0.23470502111999997,1.5230869344,17.216700000000003,11685.858,Febrero,LFPG,Do,Air France,tarde,0,5.577683981316381,Sureste
1,1,0,0,6.619170000000054,0.038181245184000005,0.0,17.48574000000002,11685.858,Febrero,LFPG,Ma,Air France,tarde,0,4.1644663853237205,Noreste
0,1,0,0,7.4121600000000285,0.8582280912000001,0.9944465472,18.75057000000004,11685.858,Febrero,LFPG,Ju,Air France,tarde,0,6.191655009504446,Noroeste
0,1,0,0,4.920740000000023,0.974617488,0.2011174704,18.43896000000001,11685.858,Febrero,LFPG,Vi,Air France,tarde,0,4.667886192209493,Noroeste
0,1,0,0,4.40554000000003,0.60400497312,4.541404752,18.449100000000044,11685.858,Febrero,LFPG,Sa,Air France,tarde,0,6.173556420236714,Noroeste
0,1,0,0,3.449670000000026,0.9181150847999999,2.8365247008000005,18.36456000000004,11685.858,Febrero,LFPG,Do,Air France,tarde,0,6.471273294118013,Suroeste
0,1,0,0,8.128350000000012,0.7890170688,0.50439043872,17.783600000000035,11685.858,Febrero,LFPG,Ma,Air France,tarde,0,1.9220812876979956,Suroeste
0,1,0,0,9.81370000000004,0.8136900144,0.0,18.27514000000002,11685.858,Febrero,LFPG,Ju,Air France,tarde,0,2.7883772210383655,Sureste
0,1,0,0,8.434079999999994,4.794250809599999,0.0,18.367400000000032,11685.858,Febrero,LFPG,Vi,Air France,tarde,0,4.271766812146496,Suroeste
0,1,0,0,6.808440000000019,0.005974620480000001,0.013668437664000003,18.265340000000037,11685.858,Febrero,LFPG,Do,Air France,tarde,0,11.925033181557165,Sureste
0,1,0,0,8.824000000000012,0.075849518016,0.025075859040000002,17.693200000000047,11685.858,Febrero,LFPG,Ma,Air France,tarde,0,3.6830521046425946,Suroeste
1,1,0,0,4.625100000000032,0.07738340832,1.15837128,18.970880000000022,11685.858,Febrero,LFPG,Do,Air France,tarde,0,3.7378238187146486,Suroeste
1,0,0,0,8.741200000000049,8.862223392,0.749419776,17.980650000000026,11685.858,Marzo,LFPG,Sa,Air France,tarde,0,4.336358570594929,Suroeste
1,0,0,0,8.324580000000026,14.438993471999998,0.0,18.4341,11685.858,Marzo,LFPG,Lu,Air France,tarde,0,5.524798496374647,Suroeste
1,0,0,0,8.098079999999982,4.212489715199999,0.9868845599999999,19.313900000000046,11685.858,Marzo,LFPG,Mi,Air France,tarde,0,6.810752068954047,Suroeste
1,0,0,0,10.358970000000056,6.327359712000001,0.0,17.798580000000015,11685.858,Marzo,LFPG,Sa,Air France,tarde,0,5.6502221703972,Sureste
1,0,0,0,7.344700000000046,0.54358485696,0.0,17.93513999999999,11685.858,Marzo,LFPG,Lu,Air France,tarde,0,1.0789399652268516,Noreste
1,0,0,0,6.018400000000042,1.4418866592e-13,0.3099662208,19.255600000000015,11685.858,Marzo,LFPG,Mi,Air France,tarde,0,5.594365321516454,Noroeste
